id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
106,32,JAWA BARAT,3277,KOTA CIMAHI,1912,ORANG,2022
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,863,ORANG,2022
108,32,JAWA BARAT,3279,KOTA BANJAR,66,ORANG,2022
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4808,ORANG,2023
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2230,ORANG,2023
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2987,ORANG,2023
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,4103,ORANG,2023
113,32,JAWA BARAT,3205,KABUPATEN GARUT,2546,ORANG,2023
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,373,ORANG,2023
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,657,ORANG,2023
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,529,ORANG,2023
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,1194,ORANG,2023
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1008,ORANG,2023
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,686,ORANG,2023
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1060,ORANG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,1765,ORANG,2023
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1937,ORANG,2023
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3008,ORANG,2023
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,2354,ORANG,2023
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1100,ORANG,2023
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,221,ORANG,2023
127,32,JAWA BARAT,3271,KOTA BOGOR,1855,ORANG,2023
128,32,JAWA BARAT,3272,KOTA SUKABUMI,590,ORANG,2023
129,32,JAWA BARAT,3273,KOTA BANDUNG,6625,ORANG,2023
130,32,JAWA BARAT,3274,KOTA CIREBON,1259,ORANG,2023
131,32,JAWA BARAT,3275,KOTA BEKASI,3072,ORANG,2023
132,32,JAWA BARAT,3276,KOTA DEPOK,1594,ORANG,2023
133,32,JAWA BARAT,3277,KOTA CIMAHI,1473,ORANG,2023
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1709,ORANG,2023
135,32,JAWA BARAT,3279,KOTA BANJAR,250,ORANG,2023
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,4426,ORANG,2024
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3041,ORANG,2024
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3582,ORANG,2024
