id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
98,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,256,ORANG,2020
99,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,1127,ORANG,2020
100,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,857,ORANG,2020
101,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,908,ORANG,2020
102,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,662,ORANG,2020
103,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,255,ORANG,2020
104,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,218,ORANG,2020
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,329,ORANG,2020
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,242,ORANG,2020
107,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,238,ORANG,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,148,ORANG,2020
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,893,ORANG,2021
110,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,665,ORANG,2021
111,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,573,ORANG,2021
112,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,476,ORANG,2021
113,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,124,ORANG,2021
114,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,124,ORANG,2021
115,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,471,ORANG,2021
116,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,386,ORANG,2021
117,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,238,ORANG,2021
118,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,221,ORANG,2021
119,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,322,ORANG,2021
120,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,245,ORANG,2021
121,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,153,ORANG,2021
122,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,92,ORANG,2021
123,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,220,ORANG,2021
124,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,144,ORANG,2021
125,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,309,ORANG,2021
126,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,228,ORANG,2021
127,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,339,ORANG,2021
128,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,238,ORANG,2021
129,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,53,ORANG,2021
130,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,51,ORANG,2021
131,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,91,ORANG,2021
132,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,57,ORANG,2021
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,112,ORANG,2021
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,82,ORANG,2021
135,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,108,ORANG,2021
136,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,77,ORANG,2021
137,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,469,ORANG,2021
138,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,329,ORANG,2021
139,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,267,ORANG,2021
140,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,145,ORANG,2021
141,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,189,ORANG,2021
142,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,175,ORANG,2021
143,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,35,ORANG,2021
144,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,23,ORANG,2021
145,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,122,ORANG,2021
146,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,83,ORANG,2021
147,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,57,ORANG,2021
148,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,52,ORANG,2021
149,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,440,ORANG,2021
150,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,416,ORANG,2021
151,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,210,ORANG,2021
152,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,137,ORANG,2021
153,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,233,ORANG,2021
154,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,169,ORANG,2021
155,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,280,ORANG,2021
156,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,213,ORANG,2021
157,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,104,ORANG,2021
158,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,96,ORANG,2021
159,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,207,ORANG,2021
160,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,144,ORANG,2021
161,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,110,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,84,ORANG,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1164,ORANG,2022
164,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,930,ORANG,2022
165,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,492,ORANG,2022
166,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,402,ORANG,2022
167,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,154,ORANG,2022
168,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,174,ORANG,2022
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,662,ORANG,2022
170,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,577,ORANG,2022
171,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,326,ORANG,2022
172,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,306,ORANG,2022
173,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,462,ORANG,2022
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,397,ORANG,2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,173,ORANG,2022
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,136,ORANG,2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,316,ORANG,2022
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,198,ORANG,2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,572,ORANG,2022
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,440,ORANG,2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,419,ORANG,2022
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,303,ORANG,2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,92,ORANG,2022
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,69,ORANG,2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,104,ORANG,2022
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,67,ORANG,2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,186,ORANG,2022
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,113,ORANG,2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,208,ORANG,2022
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,163,ORANG,2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,591,ORANG,2022
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,386,ORANG,2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,441,ORANG,2022
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,271,ORANG,2022
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,249,ORANG,2022
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,219,ORANG,2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,66,ORANG,2022
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,28,ORANG,2022
199,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,224,ORANG,2022
200,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,189,ORANG,2022
201,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,60,ORANG,2022
202,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,47,ORANG,2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,481,ORANG,2022
204,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,503,ORANG,2022
205,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,224,ORANG,2022
206,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,171,ORANG,2022
207,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,391,ORANG,2022
208,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,297,ORANG,2022
209,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,585,ORANG,2022
210,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,502,ORANG,2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,122,ORANG,2022
212,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,144,ORANG,2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,279,ORANG,2022
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,234,ORANG,2022
215,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,57,ORANG,2022
216,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,32,ORANG,2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,1754,ORANG,2023
218,32,JAWA BARAT,3201,KABUPATEN BOGOR,PEREMPUAN,1368,ORANG,2023
219,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAKI-LAKI,604,ORANG,2023
220,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PEREMPUAN,371,ORANG,2023
221,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAKI-LAKI,406,ORANG,2023
222,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PEREMPUAN,369,ORANG,2023
223,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAKI-LAKI,980,ORANG,2023
224,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PEREMPUAN,837,ORANG,2023
225,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,446,ORANG,2023
226,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,368,ORANG,2023
227,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,682,ORANG,2023
228,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,447,ORANG,2023
229,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,280,ORANG,2023
230,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,208,ORANG,2023
231,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,441,ORANG,2023
232,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,344,ORANG,2023
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,1004,ORANG,2023
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,696,ORANG,2023
235,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,635,ORANG,2023
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,467,ORANG,2023
237,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,204,ORANG,2023
238,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,172,ORANG,2023
239,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,162,ORANG,2023
