id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kasus,satuan,tahun
186,32,JAWA BARAT,3276,KOTA DEPOK,6549,ORANG,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,4321,ORANG,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2838,ORANG,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,742,ORANG,2022
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,27690,ORANG,2023
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,10950,ORANG,2023
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,9327,ORANG,2023
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,12697,ORANG,2023
194,32,JAWA BARAT,3205,KABUPATEN GARUT,8615,ORANG,2023
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3528,ORANG,2023
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3042,ORANG,2023
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3705,ORANG,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,8238,ORANG,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4318,ORANG,2023
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3020,ORANG,2023
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5148,ORANG,2023
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,5666,ORANG,2023
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5607,ORANG,2023
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,12868,ORANG,2023
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,13515,ORANG,2023
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,4178,ORANG,2023
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,954,ORANG,2023
208,32,JAWA BARAT,3271,KOTA BOGOR,10354,ORANG,2023
209,32,JAWA BARAT,3272,KOTA SUKABUMI,3431,ORANG,2023
210,32,JAWA BARAT,3273,KOTA BANDUNG,18327,ORANG,2023
211,32,JAWA BARAT,3274,KOTA CIREBON,4127,ORANG,2023
212,32,JAWA BARAT,3275,KOTA BEKASI,14279,ORANG,2023
213,32,JAWA BARAT,3276,KOTA DEPOK,7849,ORANG,2023
214,32,JAWA BARAT,3277,KOTA CIMAHI,4602,ORANG,2023
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4749,ORANG,2023
216,32,JAWA BARAT,3279,KOTA BANJAR,1175,ORANG,2023
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,29110,ORANG,2024
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,12411,ORANG,2024
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12197,ORANG,2024
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,14012,ORANG,2024
221,32,JAWA BARAT,3205,KABUPATEN GARUT,9516,ORANG,2024
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,4881,ORANG,2024
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3477,ORANG,2024
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4045,ORANG,2024
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,9587,ORANG,2024
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,4517,ORANG,2024
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3930,ORANG,2024
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6092,ORANG,2024
