id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_kematian,satuan,tahun
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,157,ORANG,2024
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65,ORANG,2024
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,81,ORANG,2024
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,178,ORANG,2024
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,87,ORANG,2024
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,119,ORANG,2024
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,135,ORANG,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,165,ORANG,2024
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,98,ORANG,2024
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,296,ORANG,2024
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,154,ORANG,2024
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,75,ORANG,2024
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,38,ORANG,2024
154,32,JAWA BARAT,3271,KOTA BOGOR,341,ORANG,2024
155,32,JAWA BARAT,3272,KOTA SUKABUMI,117,ORANG,2024
156,32,JAWA BARAT,3273,KOTA BANDUNG,489,ORANG,2024
157,32,JAWA BARAT,3274,KOTA CIREBON,79,ORANG,2024
158,32,JAWA BARAT,3275,KOTA BEKASI,252,ORANG,2024
159,32,JAWA BARAT,3276,KOTA DEPOK,314,ORANG,2024
160,32,JAWA BARAT,3277,KOTA CIMAHI,58,ORANG,2024
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,121,ORANG,2024
162,32,JAWA BARAT,3279,KOTA BANJAR,31,ORANG,2024
