id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus,satuan,tahun
174,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,1242,ORANG,2022
175,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,1720,ORANG,2022
176,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,1226,ORANG,2022
177,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,1340,ORANG,2022
178,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,1101,ORANG,2022
179,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,4061,ORANG,2022
180,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,2920,ORANG,2022
181,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,1707,ORANG,2022
182,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,1455,ORANG,2022
183,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,1338,ORANG,2022
184,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,1163,ORANG,2022
185,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,1666,ORANG,2022
186,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,1063,ORANG,2022
187,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,2682,ORANG,2022
188,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,2087,ORANG,2022
189,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,2524,ORANG,2022
190,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,2065,ORANG,2022
191,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,4736,ORANG,2022
192,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,3284,ORANG,2022
193,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,4858,ORANG,2022
194,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,3521,ORANG,2022
195,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,1531,ORANG,2022
196,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,PEREMPUAN,1512,ORANG,2022
197,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,LAKI-LAKI,413,ORANG,2022
198,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,PEREMPUAN,321,ORANG,2022
199,32,JAWA BARAT,3271,KOTA BOGOR,LAKI-LAKI,3988,ORANG,2022
200,32,JAWA BARAT,3271,KOTA BOGOR,PEREMPUAN,3752,ORANG,2022
201,32,JAWA BARAT,3272,KOTA SUKABUMI,LAKI-LAKI,1229,ORANG,2022
202,32,JAWA BARAT,3272,KOTA SUKABUMI,PEREMPUAN,1154,ORANG,2022
203,32,JAWA BARAT,3273,KOTA BANDUNG,LAKI-LAKI,7337,ORANG,2022
204,32,JAWA BARAT,3273,KOTA BANDUNG,PEREMPUAN,7204,ORANG,2022
205,32,JAWA BARAT,3274,KOTA CIREBON,LAKI-LAKI,1519,ORANG,2022
206,32,JAWA BARAT,3274,KOTA CIREBON,PEREMPUAN,1241,ORANG,2022
207,32,JAWA BARAT,3275,KOTA BEKASI,LAKI-LAKI,6039,ORANG,2022
208,32,JAWA BARAT,3275,KOTA BEKASI,PEREMPUAN,4708,ORANG,2022
209,32,JAWA BARAT,3276,KOTA DEPOK,LAKI-LAKI,3463,ORANG,2022
210,32,JAWA BARAT,3276,KOTA DEPOK,PEREMPUAN,3086,ORANG,2022
211,32,JAWA BARAT,3277,KOTA CIMAHI,LAKI-LAKI,2188,ORANG,2022
212,32,JAWA BARAT,3277,KOTA CIMAHI,PEREMPUAN,2133,ORANG,2022
213,32,JAWA BARAT,3278,KOTA TASIKMALAYA,LAKI-LAKI,1510,ORANG,2022
214,32,JAWA BARAT,3278,KOTA TASIKMALAYA,PEREMPUAN,1328,ORANG,2022
215,32,JAWA BARAT,3279,KOTA BANJAR,LAKI-LAKI,452,ORANG,2022
216,32,JAWA BARAT,3279,KOTA BANJAR,PEREMPUAN,290,ORANG,2022
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAKI-LAKI,15142,ORANG,2023
